Topic,Lesson,Homework,Link,Week
Understand Casting Process & Sides Breakdown,review of casting process. Understanding role sizes. How to breakdown Sides.  Rehearsal Stratedgy.  Prep101,,,1.0
Subtext & Non-Verbal Communication,"Importance of subtext, elevating the script.  Use of non-verbal communication as subtext and himan behavior/layers. ",,,2.0
Character & Emotional Layering,Character Development. Use of Empathy.  Understanding emotional layers and complex emotion utilization. ,,,3.0
Comedy Blueprint,"Types of Humor, comedy rules, committment to character. Getting thelaugh/landing the joke. Sitcom Rhythm and Rules.  Single Cam/Multicam mastery. ",,,4.0
Drama Blueprint,"Grounded, Realism, Action, Internal Life.  Uta Hagen method, techniques. ",,,5.0
Connection & Chemistry,Meisner Method for connection and action plans.  How to develop chemistry. Partner scenework ,,,6.0
"Tone, Types & Tropes",Tv/Film Genres and Tone.  Chareacter Types.  Using tropes as choices. ,,,7.0
Strong & Memorable Choices,My program and philosophy on making strong choice. Always seeking to own the character POV and make sure you are memorable. ,,,8.0
Charisma Super Power,Condensed Charisma - Book The Room,,,9.0
Self Tape Standards,"Tech, Reader & Success Tips",Final Scene prep and self tape instructou. ,,10.0
"Notes, Strategy & Redirects","Making the best self tape with coaching, feedback and strategy - Perfect IN-Person",,,11.0
Mock Callback Final," Individual Mock Callback ""in the room"" appointments.  Follow guidelines for perfect meeeting tips.  Using charisma and keeping departments ready.   Closing pep talk on their strengths, realities of industry ",,,12.0
